sample name	Collection Timestamp	Country	Depth	Environment 	Host Name	Host ID	Latitude	Longitude	Processing Lab 	pH	Life Stage	Temp 	Salinity
1740.1740.25.V.04.2.002.EMP.Thomas.sponges.16S.L007	2004-05-25 00:00:00	GAZ:United States of America	380.6	ENVO:reef	sponges	462	26.01882	-79.81869	HBOI.McCarthy				
1740.1740.26.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	321	18.40198	-87.40878	Russell Hill Lab				
1740.1740.26.IX.88.1.023.EMP.Thomas.sponges.16S.L007	1988-11-26 00:00:00	GAZ:The Bahamas	39.6	ENVO:reef	sponges	537	24.058	-74.54217	Lopez Lab				
1740.1740.27.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	322	18.40198	-87.40878	Russell Hill Lab				
1740.1740.27.V.93.2.7.EMP.Thomas.sponges.16S.L007	1993-05-27 00:00:00	GAZ:The Bahamas	30.5	ENVO:reef	giant barrel sponge	541	22.055	-74.55333	Lopez Lab				
1740.1740.28.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	323	18.40198	-87.40878	Russell Hill Lab				
1740.1740.28.IX.88.3.001.EMP.Thomas.sponges.16S.L007	1988-11-28 00:00:00	GAZ:The Bahamas	39.6	ENVO:reef	sponges	534	23.64667	-74.945	Lopez Lab				
1740.1740.28.V.04.3.002.EMP.Thomas.sponges.16S.L007	2004-05-28 00:00:00	GAZ:United States of America	417.9	ENVO:reef	sponges	463	26.02055	-79.82234	HBOI.McCarthy				
1740.1740.29.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	324	18.40198	-87.40878	Russell Hill Lab				
1740.1740.29.V.04.1.006.EMP.Thomas.sponges.16S.L007	2004-05-29 00:00:00	GAZ:United States of America	392.6	ENVO:reef	sponges	467	26.02375	-79.82092	HBOI.McCarthy				
1740.1740.3.EMP.Thomas.sponges.16S.L007	2012-07-16 00:00:00	GAZ:The Bahamas	12.1	ENVO:reef	sponges	301	26.56295	-77.8815	Russell Hill Lab				
1740.1740.3.VIII.05.1.008.EMP.Thomas.sponges.16S.L007	2005-08-03 00:00:00	GAZ:United States of America	304.5	ENVO:reef	sponges	466	26.18619	-79.85406	HBOI.McCarthy				
1740.1740.30.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	325	18.40198	-87.40878	Russell Hill Lab				
1740.1740.31.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	326	18.40198	-87.40878	Russell Hill Lab				
1740.1740.32.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	327	18.40198	-87.40878	Russell Hill Lab				
1740.1740.33.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	328	18.40198	-87.40878	Russell Hill Lab				
1740.1740.37.EMP.Thomas.sponges.16S.L007	2012-06-12 00:00:00	GAZ:Puerto Rico	10	ENVO:reef	sponges	329	17.95522	-67.05322	Russell Hill Lab				
1740.1740.38.EMP.Thomas.sponges.16S.L007	2012-06-12 00:00:00	GAZ:Puerto Rico	10	ENVO:reef	sponges	330	17.95522	-67.05322	Russell Hill Lab				
1740.1740.39.EMP.Thomas.sponges.16S.L007	2012-06-12 00:00:00	GAZ:Puerto Rico	10	ENVO:reef	sponges	331	17.95522	-67.05322	Russell Hill Lab				
1740.1740.4.EMP.Thomas.sponges.16S.L007	2012-07-16 00:00:00	GAZ:The Bahamas	12.1	ENVO:reef	black-ball sponge	302	26.56295	-77.8815	Russell Hill Lab				
1740.1740.4.VI.93.4.001.EMP.Thomas.sponges.16S.L007	1993-06-04 00:00:00	GAZ:The Bahamas	27.4	ENVO:reef	sponges	540	22.72333	-73.88333	Lopez Lab				
1740.1740.40.EMP.Thomas.sponges.16S.L007	2012-06-12 00:00:00	GAZ:Puerto Rico	10	ENVO:reef	sponges	332	17.95522	-67.05322	Russell Hill Lab				
1740.1740.41.EMP.Thomas.sponges.16S.L007	2012-06-12 00:00:00	GAZ:Puerto Rico	10	ENVO:reef	sponges	333	17.95522	-67.05322	Russell Hill Lab				
1740.1740.42.EMP.Thomas.sponges.16S.L007	2012-06-12 00:00:00	GAZ:Puerto Rico	10	ENVO:reef	sponges	334	17.95522	-67.05322	Russell Hill Lab				
1740.1740.43.EMP.Thomas.sponges.16S.L007	2012-06-12 00:00:00	GAZ:Puerto Rico	10	ENVO:reef	sponges	335	17.95522	-67.05322	Russell Hill Lab				
1740.1740.44.EMP.Thomas.sponges.16S.L007	2012-06-12 00:00:00	GAZ:Puerto Rico	10	ENVO:reef	sponges	336	17.95522	-67.05322	Russell Hill Lab				
1740.1740.442.EMP.Thomas.sponges.16S.L007	2011-11-14 00:00:00	GAZ:United States of America	5	ENVO:reef		440	26.1494	-80.0971	Lopez Lab				
1740.1740.443.EMP.Thomas.sponges.16S.L007	1986-08-01 00:00:00	GAZ:United States of America	12.2	ENVO:reef	sponges	536	24.48667	-81.67833	Lopez Lab				
1740.1740.444.EMP.Thomas.sponges.16S.L007	2006-07-19 00:00:00	GAZ:Panama	2	ENVO:reef	sponges	632	9.30683	-82.17417	Thacker Lab				
1740.1740.45.EMP.Thomas.sponges.16S.L007	2012-06-12 00:00:00	GAZ:Puerto Rico	10	ENVO:reef	sponges	337	17.95522	-67.05322	Russell Hill Lab				
1740.1740.46.EMP.Thomas.sponges.16S.L007	2012-06-12 00:00:00	GAZ:Puerto Rico	10	ENVO:reef	sponges	338	17.95522	-67.05322	Russell Hill Lab				
1740.1740.47.EMP.Thomas.sponges.16S.L007	2012-06-12 00:00:00	GAZ:Puerto Rico	10	ENVO:reef	sponges	339	17.95522	-67.05322	Russell Hill Lab				
1740.1740.48.EMP.Thomas.sponges.16S.L007	2012-06-12 00:00:00	GAZ:Puerto Rico	10	ENVO:reef	sponges	340	17.95522	-67.05322	Russell Hill Lab				
1740.1740.49.EMP.Thomas.sponges.16S.L007	2012-06-12 00:00:00	GAZ:Puerto Rico	10	ENVO:reef	sponges	341	17.95522	-67.05322	Russell Hill Lab				
1740.1740.5.11.120D.EMP.Thomas.sponges.16S.L007	2012-05-11 00:00:00	GAZ:United States of America	18.59	ENVO:reef	giant barrel sponge	275	26.50992	-80.03365	Jose Lopez Lab				
